verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link
true,Barack Obama,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",6/11/2008,speech,Adriel Bettelheim,6/16/2008,https://www.politifact.com/factchecks/2008/jun/16/barack-obama/no-exemptions-for-debtors/
false,Matt Gaetz,"""Bennie Thompson actively cheer-led riots in the ’90s.""",6/7/2022,television,Yacob Reyes,6/13/2022,https://www.politifact.com/factchecks/2022/jun/13/matt-gaetz/gaetz-mischaracterizes-bennie-thompsons-stance-rio/
mostly-true,Kelly Ayotte,"Says Maggie Hassan was ""out of state on 30 days over the last three months.""",5/18/2016,news,Clay Wirestone,5/27/2016,https://www.politifact.com/factchecks/2016/may/27/kelly-ayotte/how-much-has-maggie-hassan-been-out-new-hampshire-/
false,Bloggers,"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""",2/1/2021,blog,Madison Czopek,2/5/2021,https://www.politifact.com/factchecks/2021/feb/05/blog-posting/no-cdc-isnt-inflating-coronavirus-statistics/
half-true,Bobby Jindal,"""I'm the only (Republican) candidate that has actually reduced the size of government.""",8/30/2015,television,Linda Qiu,8/30/2015,https://www.politifact.com/factchecks/2015/aug/30/bobby-jindal/bobby-jindal-im-only-candidate-has-actually-reduce/
true,S.E. Cupp,"""There are actually only 30 countries that practice birthright citizenship.""",8/23/2015,news,Will Cabaniss,8/23/2015,https://www.politifact.com/factchecks/2015/aug/23/se-cupp/se-cupp-only-about-30-other-countries-offer-birthr/
false,Michele Bachmann,"""My husband and I have never gotten a penny of money from the farm.""",6/26/2011,news,Robert Farley,7/1/2011,https://www.politifact.com/factchecks/2011/jul/01/michele-bachmann/rep-michele-bachmann-says-shes-never-received-penn/
true,George Turner,"""If you go strictly by the numbers, crime is down across the board. Last year we had a 10 percent decrease in the most serious crimes.""",4/4/2011,news,Willoughby Mariano,4/18/2011,https://www.politifact.com/factchecks/2011/apr/18/george-turner/atlanta-police-chief-says-despite-fears-crime-down/
mostly-true,Kent Conrad,"""The American people say, don't touch Social Security, don't touch Medicare, don't cut defense. That's 84 percent of the federal budget.""",1/23/2011,other,Angie Drobnic Holan,1/27/2011,https://www.politifact.com/factchecks/2011/jan/27/kent-conrad/kent-conrad-said-84-percent-budget-social-security/
true,Mandela Barnes,"""Since 1978, CEO compensation rose over 1,000% and only 11.9% for average workers.""",5/23/2021,social_media,Madeline Heim,6/2/2021,https://www.politifact.com/factchecks/2021/jun/02/mandela-barnes/yes-pay-ceos-has-far-outpaced-compensation-average/
pants-fire,Chris Telfer,"Says her accomplishments include ""a fiscally responsible budget agreement that controls state spending.""",3/6/2012,news,Janie Har,3/14/2012,https://www.politifact.com/factchecks/2012/mar/14/chris-telfer/can-chris-telfer-claim-credit-budget-re-balance-cl/
false,Carlos Beruff,"Says President Obama’s deal ""allows Iran to produce a nuclear weapon.""",5/5/2016,news,Joshua Gillin,5/11/2016,https://www.politifact.com/factchecks/2016/may/11/carlos-beruff/deal-allows-iran-produce-nuclear-weapon-us-senate-/
mostly-true,Hillary Clinton,"Says ""Donald Trump says climate change is a hoax invented by the Chinese.""",6/2/2016,speech,Louis Jacobson,6/3/2016,https://www.politifact.com/factchecks/2016/jun/03/hillary-clinton/yes-donald-trump-did-call-climate-change-chinese-h/
false,Sidney Powell,"""At least 450,000 ballots in the key states ... miraculously only have a mark for Joe Biden on them, and no other candidate.""",11/8/2020,news,Samantha Putterman,11/20/2020,https://www.politifact.com/factchecks/2020/nov/20/sidney-powell/sidney-powell-claim-450000-votes-were-only-biden-k/
